"region","id","group","counts"
"DDG",39,"Lesion_Familiar",205.541528280044
"DDG",1,"Lesion_Novel",201.584567396447
"DDG",5,"Lesion_Novel",238.421465871483
"DDG",10,"Lesion_Novel",258.318499379179
"DDG",11,"Lesion_Novel",190.78479483394
"DDG",19,"Lesion_Novel",70.5391706653289
"DDG",28,"Lesion_Novel",219.283269333061
"DDG",34,"Lesion_Novel",809.976056295218
"DDG",35,"Lesion_Novel",148.117339482038
"DDG",7,"Sham_Familiar",362.890829803007
"DDG",15,"Sham_Familiar",130.997116092595
"DDG",16,"Sham_Familiar",234.377324715696
"DDG",24,"Sham_Familiar",75.0181675823398
"DDG",30,"Sham_Familiar",230.314807986357
"DDG",32,"Sham_Familiar",158.989077737036
"DDG",37,"Sham_Familiar",230.427045567508
"DDG",40,"Sham_Familiar",242.492482022926
"DDG",6,"Sham_Novel",349.015874071796
"DDG",9,"Sham_Novel",265.343740709309
"DDG",12,"Sham_Novel",265.255202624057
"DDG",20,"Sham_Novel",140.316746717528
"DDG",25,"Sham_Novel",214.998044609248
"DDG",26,"Sham_Novel",281.976499313733
"DDG",33,"Sham_Novel",215.863370324593
"DDG",36,"Sham_Novel",152.605165712467
"DPC",3,"Lesion_Familiar",604.42479842265
"DPC",8,"Lesion_Familiar",382.033406408601
"DPC",13,"Lesion_Familiar",342.54974749484
"DPC",14,"Lesion_Familiar",410.814660619471
"DPC",22,"Lesion_Familiar",882.281392224396
"DPC",29,"Lesion_Familiar",353.035930765374
"DPC",31,"Lesion_Familiar",459.04594173923
"DPC",38,"Lesion_Familiar",571.528175635907
"DPC",39,"Lesion_Familiar",559.604785850564
"DPC",1,"Lesion_Novel",452.935336200691
"DPC",5,"Lesion_Novel",389.054957407476
"DPC",10,"Lesion_Novel",332.404216072418
"DPC",11,"Lesion_Novel",433.62073260901
"DPC",19,"Lesion_Novel",244.067448391781
"DPC",27,"Lesion_Novel",526.221653575527
"DPC",28,"Lesion_Novel",907.387149131636
"DPC",34,"Lesion_Novel",503.814477752028
"DPC",35,"Lesion_Novel",335.715354532752
"DPC",4,"Sham_Familiar",259.111704852604
"DPC",7,"Sham_Familiar",599.483211240972
"DPC",16,"Sham_Familiar",256.364415609793
"DPC",21,"Sham_Familiar",227.109636513865
"DPC",24,"Sham_Familiar",285.171494781348
"DPC",30,"Sham_Familiar",676.245455755337
"DPC",32,"Sham_Familiar",448.58728141318
"DPC",37,"Sham_Familiar",473.762881502182
"DPC",40,"Sham_Familiar",738.270112418075
"DPC",6,"Sham_Novel",354.371184698129
"DPC",9,"Sham_Novel",376.061481870186
"DPC",12,"Sham_Novel",474.507227484137
"DPC",18,"Sham_Novel",341.807739942092
"DPC",20,"Sham_Novel",284.633272149468
"DPC",25,"Sham_Novel",589.064766940227
"DPC",26,"Sham_Novel",603.322165119519
"DPC",33,"Sham_Novel",234.809911973291
"DPC",36,"Sham_Novel",355.157427902382
"DSUB",13,"Lesion_Familiar",347.281275760172
"DSUB",29,"Lesion_Familiar",97.098439145662
"DSUB",31,"Lesion_Familiar",196.290616531818
"DSUB",38,"Lesion_Familiar",326.613611336983
"DSUB",39,"Lesion_Familiar",259.45019297893
"DSUB",1,"Lesion_Novel",217.001140310911
"DSUB",5,"Lesion_Novel",264.472576000372
"DSUB",19,"Lesion_Novel",110.173499136248
"DSUB",27,"Lesion_Novel",289.389495204715
"DSUB",28,"Lesion_Novel",469.085997491377
"DSUB",7,"Sham_Familiar",222.139768390787
"DSUB",15,"Sham_Familiar",171.696488110909
"DSUB",30,"Sham_Familiar",319.451234588761
"DSUB",32,"Sham_Familiar",151.844395999082
"DSUB",40,"Sham_Familiar",93.3864433548142
"DSUB",6,"Sham_Novel",252.999855314134
"DSUB",12,"Sham_Novel",413.731106803341
"DSUB",20,"Sham_Novel",197.419610416741
"DSUB",26,"Sham_Novel",284.014096593244
"DSUB",36,"Sham_Novel",205.470201231814
"ICA1",3,"Lesion_Familiar",324.394301870354
"ICA1",8,"Lesion_Familiar",194.033877721501
"ICA1",13,"Lesion_Familiar",155.768567604042
"ICA1",14,"Lesion_Familiar",145.591002519904
"ICA1",29,"Lesion_Familiar",110.455480790095
"ICA1",39,"Lesion_Familiar",142.542677628657
"ICA1",1,"Lesion_Novel",308.37357786099
"ICA1",5,"Lesion_Novel",229.364598112353
"ICA1",10,"Lesion_Novel",116.302332043018
"ICA1",11,"Lesion_Novel",229.11389203007
"ICA1",19,"Lesion_Novel",73.614680522031
"ICA1",28,"Lesion_Novel",226.445711110734
"ICA1",35,"Lesion_Novel",137.031562120792
"ICA1",7,"Sham_Familiar",256.03745356927
"ICA1",15,"Sham_Familiar",78.1266930808875
"ICA1",16,"Sham_Familiar",142.933325396787
"ICA1",30,"Sham_Familiar",134.89857611582
"ICA1",32,"Sham_Familiar",93.3942485512887
"ICA1",37,"Sham_Familiar",111.155666125047
"ICA1",40,"Sham_Familiar",295.597815338819
"ICA1",2,"Sham_Novel",481.351239429802
"ICA1",6,"Sham_Novel",130.97464027108
"ICA1",9,"Sham_Novel",217.651703288995
"ICA1",20,"Sham_Novel",108.57283467276
"ICA1",36,"Sham_Novel",162.417016606383
"ICA3",3,"Lesion_Familiar",278.052481801614
"ICA3",8,"Lesion_Familiar",145.826971899298
"ICA3",13,"Lesion_Familiar",158.885671424942
"ICA3",14,"Lesion_Familiar",208.139599423468
"ICA3",22,"Lesion_Familiar",187.078363051175
"ICA3",1,"Lesion_Novel",529.631652010253
"ICA3",5,"Lesion_Novel",153.607681813684
"ICA3",10,"Lesion_Novel",137.332252690314
"ICA3",11,"Lesion_Novel",177.617786116305
"ICA3",19,"Lesion_Novel",123.591726239138
"ICA3",28,"Lesion_Novel",240.589045382904
"ICA3",34,"Lesion_Novel",102.010857292702
"ICA3",35,"Lesion_Novel",168.826215961386
"ICA3",7,"Sham_Familiar",208.911297032923
"ICA3",15,"Sham_Familiar",104.087980340735
"ICA3",16,"Sham_Familiar",162.813028797532
"ICA3",30,"Sham_Familiar",152.179233796303
"ICA3",32,"Sham_Familiar",99.3361802293597
"ICA3",37,"Sham_Familiar",164.182112239271
"ICA3",40,"Sham_Familiar",148.11559018451
"ICA3",2,"Sham_Novel",445.127354666854
"ICA3",6,"Sham_Novel",130.945623135295
"ICA3",9,"Sham_Novel",147.252536131216
"ICA3",20,"Sham_Novel",69.5181919896087
"ICA3",26,"Sham_Novel",207.609704970367
"ICA3",36,"Sham_Novel",114.463679591765
"IDG",3,"Lesion_Familiar",391.011458297204
"IDG",8,"Lesion_Familiar",105.151573360398
"IDG",13,"Lesion_Familiar",165.50265149758
"IDG",14,"Lesion_Familiar",197.554732244825
"IDG",22,"Lesion_Familiar",365.070853631553
"IDG",38,"Lesion_Familiar",229.476285061737
"IDG",39,"Lesion_Familiar",195.819885887934
"IDG",1,"Lesion_Novel",609.223633755502
"IDG",5,"Lesion_Novel",185.764524391079
"IDG",10,"Lesion_Novel",194.928242636311
"IDG",11,"Lesion_Novel",188.556608610916
"IDG",28,"Lesion_Novel",263.834047695479
"IDG",34,"Lesion_Novel",165.030982111545
"IDG",7,"Sham_Familiar",250.646819847951
"IDG",15,"Sham_Familiar",99.590897700124
"IDG",16,"Sham_Familiar",138.755427861529
"IDG",30,"Sham_Familiar",148.766645269587
"IDG",32,"Sham_Familiar",111.462471554995
"IDG",2,"Sham_Novel",474.318834194052
"IDG",6,"Sham_Novel",167.280262428406
"IDG",9,"Sham_Novel",242.724601225716
"IDG",20,"Sham_Novel",117.402917499823
"IDG",26,"Sham_Novel",232.077949627196
"IFC",3,"Lesion_Familiar",680.456267913886
"IFC",8,"Lesion_Familiar",343.402812011301
"IFC",13,"Lesion_Familiar",321.790414199688
"IFC",14,"Lesion_Familiar",411.191515123922
"IFC",22,"Lesion_Familiar",621.079157620685
"IFC",29,"Lesion_Familiar",381.588645930403
"IFC",31,"Lesion_Familiar",519.2192754673
"IFC",38,"Lesion_Familiar",613.226431214965
"IFC",39,"Lesion_Familiar",609.097603280862
"IFC",1,"Lesion_Novel",431.194854626112
"IFC",5,"Lesion_Novel",364.714601192951
"IFC",10,"Lesion_Novel",307.55476958275
"IFC",11,"Lesion_Novel",452.743702647689
"IFC",19,"Lesion_Novel",310.855169591089
"IFC",27,"Lesion_Novel",561.674233695156
"IFC",28,"Lesion_Novel",914.881081797601
"IFC",34,"Lesion_Novel",555.661832017451
"IFC",35,"Lesion_Novel",319.843496198858
"IFC",4,"Sham_Familiar",272.649632505829
"IFC",7,"Sham_Familiar",641.031536578567
"IFC",16,"Sham_Familiar",227.981173819199
"IFC",21,"Sham_Familiar",209.301400459827
"IFC",24,"Sham_Familiar",339.852876448307
"IFC",30,"Sham_Familiar",921.153090808199
"IFC",32,"Sham_Familiar",494.744810952087
"IFC",37,"Sham_Familiar",464.803216068563
"IFC",40,"Sham_Familiar",567.764675099029
"IFC",6,"Sham_Novel",345.684159585729
"IFC",9,"Sham_Novel",399.141957539303
"IFC",12,"Sham_Novel",558.600835075176
"IFC",18,"Sham_Novel",265.938501590236
"IFC",20,"Sham_Novel",394.643133060733
"IFC",25,"Sham_Novel",709.315476546954
"IFC",26,"Sham_Novel",717.64906629302
"IFC",33,"Sham_Novel",163.205497603123
"IFC",36,"Sham_Novel",397.65291607657
"LENT",3,"Lesion_Familiar",401.087560009338
"LENT",8,"Lesion_Familiar",281.115321553026
"LENT",13,"Lesion_Familiar",327.089437811081
"LENT",14,"Lesion_Familiar",458.596322783474
"LENT",29,"Lesion_Familiar",558.719939870962
"LENT",31,"Lesion_Familiar",335.956033292888
"LENT",38,"Lesion_Familiar",582.216417058753
"LENT",39,"Lesion_Familiar",501.817863091262
"LENT",1,"Lesion_Novel",175.429672029247
"LENT",5,"Lesion_Novel",354.785039536497
"LENT",10,"Lesion_Novel",340.617614449001
"LENT",11,"Lesion_Novel",285.757142809208
"LENT",19,"Lesion_Novel",213.054589469633
"LENT",28,"Lesion_Novel",786.660753347198
"LENT",34,"Lesion_Novel",417.355563320653
"LENT",35,"Lesion_Novel",417.180471094683
